latitude,longitude,landslide_trigger,landslide_setting,landslide_category
18.72991506,94.68075508,,burned_area,landslide
18.73579099,94.68117582,,burned_area,landslide
18.73529766,94.68265483,,burned_area,landslide
18.74276111,94.67365633,,burned_area,landslide
18.75896291,94.71560579,,burned_area,landslide
17.93655888,95.02676876,,,landslide
10.01056627,98.244697,,,landslide
11.98718532,98.95064103,,,landslide
12.53384734,99.29087514,,,landslide
13.11893857,98.84424997,,,landslide
13.40320229,99.10001626,,,landslide
10.01620295,98.24767027,,,landslide
14.22558262,98.62972555,,,landslide
26.07173543,98.53105319,,,landslide
22.05279393,92.80555893,,,landslide
22.03671727,92.8218248,,,landslide
22.05056353,92.84752923,,,landslide
22.49022987,93.57951721,,,landslide
21.12583877,92.62027766,,,landslide
20.8583712,92.86706764,,,landslide
20.78905882,93.16264553,,,landslide
20.61016537,100.0829371,,,landslide
20.63104575,99.96579734,,mine,landslide
21.05905359,99.9426733,,,landslide
25.87083924,97.52981072,,above_river,landslide
25.68615627,97.4624121,,,landslide
25.68961402,97.44673648,,,landslide
25.68306255,97.43776703,,,landslide
25.6812089,97.44661089,,,landslide
21.23186403,93.99414998,,,landslide
21.43123451,94.03922568,,,landslide
21.37289707,93.09853132,,,landslide
21.38190559,93.11729365,,,landslide
18.11666549,94.91478259,,,landslide
18.78240657,96.13132417,,below_road,landslide
12.53759295,99.18193331,,,landslide
12.7022447,98.95201505,,,landslide
13.37310127,99.13513492,,,landslide
13.3513139,99.12235995,,,landslide
13.35745688,99.12824396,,,landslide
13.3621021,99.11478004,,,landslide
13.34551028,99.0786271,,,landslide
13.36294144,99.06759742,,,landslide
13.09172043,99.09772245,,,landslide
12.69410188,98.96929835,,,landslide
12.74053302,98.97837618,,deforested_slope,landslide
13.24805717,99.06081305,,,landslide
13.25425438,99.02737655,,,landslide
26.13206709,97.20515606,,,landslide
26.07097444,97.6990537,,,landslide
14.98963813,97.94882885,,,landslide
14.98763073,97.9485736,,,landslide
15.12889074,97.96131207,,,landslide
15.15216848,97.95265571,,,landslide
15.14978357,97.95227388,,,landslide
15.1482399,97.94869004,,,landslide
15.18223639,97.93012109,,,landslide
15.17926972,97.93104879,,,landslide
15.14995985,97.94308079,,,landslide
15.15037232,97.93057867,,,landslide
15.14773196,97.94285423,,,landslide
15.14107204,97.9427339,,,landslide
15.14420534,97.95248717,,,landslide
15.1399669,97.95162662,,,landslide
15.13009684,97.95080671,,,landslide
15.13430549,97.96314984,,,landslide
21.21141845,93.76583492,,,landslide
21.21318782,93.75553088,,,landslide
21.1900967,93.8162627,,deforested_slope,landslide
21.16051262,93.77929664,,deforested_slope,landslide
19.04112977,94.67048328,,,landslide
11.7361962,98.08219939,,,landslide
11.73498471,98.03237558,,,landslide
11.8262115,98.1231508,,,landslide
-8.41036311,116.45913486,earthquake,natural_slope,landslide
-8.39554949,116.4346165,earthquake,natural_slope,landslide
12.43205911,75.73750347,continuous_rain,urban,mudslide
35.959515,-81.942285,,above_road,rock_fall
25.14429782,93.97198129,flooding,deforested_slope,mudslide
25.55544,93.63981,rain,above_road,landslide
25.18159,92.000566,mining,mine,rock_fall
30.35948514,78.37742809,downpour,deforested_slope,debris_flow
-3.648,29.337,Rain,,Landslide
-2.477,28.823,,,Landslide
-3.29,28.1,,,Landslide
-3.41,29.13,,,Landslide
-3.049,29.129,Rain,,Landslide
-2.519,28.846,Flooding,,Landslide
-2.223,29.033,Rain,,Landslide
-1.708,30.196,Rain,,Landslide
0.782,30.083,Rain,,Landslide
-1.179,29.627,Rain,,Landslide
0.168,29.983,Rain,,Landslide
0.835,30.158,Rain,,Mudslide
-7.190355,107.28986,downpour,,landslide
10.3336,123.8978,tropical_cyclone,,landslide
12.5655,124.0419,downpour,,landslide
35.507,-83.071,rain,,landslide
46.11,-122.893,rain,,landslide
